ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-10-15 13:18:43+00:00,32,1,230943,70.46,70.46,70.46,70.46,3,CL.c.0
2024-10-15 13:18:45+00:00,32,1,230943,70.47,70.47,70.47,70.47,1,CL.c.0
2024-10-15 13:18:48+00:00,32,1,230943,70.48,70.5,70.48,70.49,26,CL.c.0
2024-10-15 13:18:49+00:00,32,1,230943,70.5,70.5,70.5,70.5,5,CL.c.0
2024-10-15 13:18:50+00:00,32,1,230943,70.5,70.51,70.5,70.51,7,CL.c.0
2024-10-15 13:18:52+00:00,32,1,230943,70.51,70.51,70.49,70.49,4,CL.c.0
2024-10-15 13:18:53+00:00,32,1,230943,70.5,70.5,70.5,70.5,3,CL.c.0
2024-10-15 13:18:54+00:00,32,1,230943,70.51,70.51,70.51,70.51,2,CL.c.0
2024-10-15 13:18:56+00:00,32,1,230943,70.5,70.51,70.5,70.5,3,CL.c.0
2024-10-15 13:18:57+00:00,32,1,230943,70.5,70.5,70.49,70.49,5,CL.c.0
2024-10-15 13:18:58+00:00,32,1,230943,70.48,70.48,70.48,70.48,4,CL.c.0
2024-10-15 13:18:59+00:00,32,1,230943,70.48,70.48,70.47,70.47,9,CL.c.0
2024-10-15 13:19:00+00:00,32,1,230943,70.46,70.47,70.46,70.47,6,CL.c.0
2024-10-15 13:19:01+00:00,32,1,230943,70.47,70.48,70.47,70.48,29,CL.c.0
2024-10-15 13:19:02+00:00,32,1,230943,70.49,70.49,70.49,70.49,2,CL.c.0
2024-10-15 13:19:03+00:00,32,1,230943,70.49,70.49,70.49,70.49,3,CL.c.0
2024-10-15 13:19:04+00:00,32,1,230943,70.48,70.49,70.48,70.49,5,CL.c.0
2024-10-15 13:19:05+00:00,32,1,230943,70.48,70.48,70.48,70.48,2,CL.c.0
2024-10-15 13:19:07+00:00,32,1,230943,70.47,70.47,70.46,70.46,11,CL.c.0
2024-10-15 13:19:08+00:00,32,1,230943,70.46,70.46,70.45,70.45,7,CL.c.0
2024-10-15 13:19:09+00:00,32,1,230943,70.45,70.45,70.45,70.45,1,CL.c.0
2024-10-15 13:19:10+00:00,32,1,230943,70.45,70.45,70.44,70.45,16,CL.c.0
2024-10-15 13:19:11+00:00,32,1,230943,70.44,70.44,70.44,70.44,2,CL.c.0
2024-10-15 13:19:12+00:00,32,1,230943,70.44,70.44,70.44,70.44,3,CL.c.0
2024-10-15 13:19:13+00:00,32,1,230943,70.45,70.45,70.43,70.43,18,CL.c.0
2024-10-15 13:19:15+00:00,32,1,230943,70.43,70.43,70.42,70.42,18,CL.c.0
2024-10-15 13:19:18+00:00,32,1,230943,70.43,70.44,70.43,70.43,8,CL.c.0
2024-10-15 13:19:20+00:00,32,1,230943,70.43,70.43,70.43,70.43,3,CL.c.0
2024-10-15 13:19:21+00:00,32,1,230943,70.42,70.42,70.42,70.42,7,CL.c.0
2024-10-15 13:19:22+00:00,32,1,230943,70.43,70.43,70.43,70.43,1,CL.c.0
2024-10-15 13:19:23+00:00,32,1,230943,70.42,70.42,70.42,70.42,4,CL.c.0
2024-10-15 13:19:24+00:00,32,1,230943,70.43,70.43,70.43,70.43,6,CL.c.0
2024-10-15 13:19:25+00:00,32,1,230943,70.43,70.43,70.43,70.43,1,CL.c.0
2024-10-15 13:19:26+00:00,32,1,230943,70.43,70.43,70.43,70.43,4,CL.c.0
2024-10-15 13:19:27+00:00,32,1,230943,70.44,70.45,70.44,70.44,18,CL.c.0
2024-10-15 13:19:29+00:00,32,1,230943,70.44,70.44,70.44,70.44,5,CL.c.0
2024-10-15 13:19:30+00:00,32,1,230943,70.43,70.43,70.42,70.42,13,CL.c.0
2024-10-15 13:19:31+00:00,32,1,230943,70.42,70.42,70.42,70.42,4,CL.c.0
2024-10-15 13:19:32+00:00,32,1,230943,70.42,70.42,70.42,70.42,2,CL.c.0
2024-10-15 13:19:33+00:00,32,1,230943,70.43,70.43,70.43,70.43,2,CL.c.0
2024-10-15 13:19:34+00:00,32,1,230943,70.43,70.43,70.43,70.43,3,CL.c.0
2024-10-15 13:19:36+00:00,32,1,230943,70.42,70.43,70.42,70.43,12,CL.c.0
2024-10-15 13:19:39+00:00,32,1,230943,70.43,70.43,70.43,70.43,2,CL.c.0
2024-10-15 13:19:40+00:00,32,1,230943,70.42,70.42,70.42,70.42,1,CL.c.0
2024-10-15 13:19:41+00:00,32,1,230943,70.43,70.43,70.43,70.43,1,CL.c.0
2024-10-15 13:19:44+00:00,32,1,230943,70.44,70.44,70.43,70.43,6,CL.c.0
2024-10-15 13:19:46+00:00,32,1,230943,70.44,70.44,70.44,70.44,2,CL.c.0
2024-10-15 13:19:48+00:00,32,1,230943,70.44,70.44,70.43,70.43,3,CL.c.0
2024-10-15 13:19:50+00:00,32,1,230943,70.44,70.44,70.44,70.44,1,CL.c.0
2024-10-15 13:19:55+00:00,32,1,230943,70.44,70.44,70.44,70.44,8,CL.c.0
2024-10-15 13:20:00+00:00,32,1,230943,70.43,70.43,70.4,70.4,29,CL.c.0
2024-10-15 13:20:01+00:00,32,1,230943,70.39,70.39,70.39,70.39,9,CL.c.0
2024-10-15 13:20:02+00:00,32,1,230943,70.38,70.39,70.38,70.38,15,CL.c.0
2024-10-15 13:20:03+00:00,32,1,230943,70.38,70.39,70.38,70.39,13,CL.c.0
2024-10-15 13:20:04+00:00,32,1,230943,70.39,70.39,70.39,70.39,1,CL.c.0
2024-10-15 13:20:05+00:00,32,1,230943,70.39,70.4,70.38,70.4,15,CL.c.0
2024-10-15 13:20:06+00:00,32,1,230943,70.39,70.39,70.39,70.39,2,CL.c.0
2024-10-15 13:20:07+00:00,32,1,230943,70.38,70.38,70.38,70.38,6,CL.c.0
2024-10-15 13:20:08+00:00,32,1,230943,70.38,70.38,70.38,70.38,2,CL.c.0
2024-10-15 13:20:10+00:00,32,1,230943,70.38,70.38,70.38,70.38,5,CL.c.0
2024-10-15 13:20:11+00:00,32,1,230943,70.39,70.4,70.39,70.4,9,CL.c.0
2024-10-15 13:20:12+00:00,32,1,230943,70.4,70.4,70.4,70.4,1,CL.c.0
2024-10-15 13:20:13+00:00,32,1,230943,70.39,70.39,70.39,70.39,6,CL.c.0
2024-10-15 13:20:14+00:00,32,1,230943,70.38,70.38,70.38,70.38,3,CL.c.0
2024-10-15 13:20:15+00:00,32,1,230943,70.39,70.42,70.39,70.42,10,CL.c.0
2024-10-15 13:20:16+00:00,32,1,230943,70.44,70.45,70.44,70.44,4,CL.c.0
2024-10-15 13:20:17+00:00,32,1,230943,70.43,70.44,70.43,70.44,12,CL.c.0
